,Construction_Notes,From,District,Permit,Work_Schedule,Contractor,Trench_Length,To,Roadway_Plates_In_Use,Address_1,Address_2,Status,ExpirationDate,Intersection,Permittee,Sidewalk_Plates_In_Use,Project_Category,Estimated_Completion_Date,NumberOfWorkZones,Contact_Number,Neighborhood,Street,_id
478,,,04,EXCA-1436903,Days & Weekends,National Grid,,,,1197,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,COMMONWEALTH AV,479
479,,,04,EXCA-1436910,Days & Weekends,National Grid,,,,57,,,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,STRATHMORE RD,480
480,,,04,EXCA-1435419,Days & Weekends,Maverick Construction,,,,442,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-17 00:00:00,,Boston Public Works,,MAINTENANCE,2023-02-17 00:00:00,1,857-472-0105,ALLSTON/BRIGHTON,CAMBRIDGE ST,481
481,Grade 1 Gas Leak,,04,EMER-1333350,Days & Weekends,National Grid,,,,85,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-09 00:00:00,,National Grid,,EMERGENCY,2023-02-09 00:00:00,1,1-877-304 12,ALLSTON/BRIGHTON,MAPLETON ST,482
482,Service Repair (Leak on Service),,04,EMER-1426154,Days & Weekends,Metro Equipment Corp,,,,35,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,ALLSTON/BRIGHTON,Greycliff Rd,483
483,Service Repair (Leak on Service),,04,EMER-1426154,Days & Weekends,Metro Equipment Corp,,,,35,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-01 00:00:00,1,1-617-989 70,ALLSTON/BRIGHTON,Greycliff Rd,484
484,INSTALLATION OF GAS MAIN,,04,EXCA-1429407,Days & Weekends,National Grid,60,,,13,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-03 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-02-03 00:00:00,1,,ALLSTON/BRIGHTON,GREYLOCK RD,485
485,INSTALLATION OF GAS SERVICE,,04,EXCA-1433595,Days & Weekends,National Grid,,,,2,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-10 00:00:00,,National Grid,,SERVICE,2023-02-10 00:00:00,1,,ALLSTON/BRIGHTON,Oakland St,486
486,Gas Stoppage,,04,EMER-1333344,Days & Weekends,National Grid,,,,30,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-07 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,ALLSTON/BRIGHTON,MAPLETON ST,487
487,INSTALLATION OF GAS MAIN,,04,EXCA-1433549,Days & Weekends,Feeney Brothers Excavation,,,,251,,,2023-02-28 00:00:00,,National Grid,,SERVICE,2023-02-28 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,FANEUIL ST,488
488,GAS LEAK REPAIR,,04,EXCA-1433585,Days & Weekends,National Grid,,,,164,,,2023-02-08 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,BRAYTON RD,489
489,GAS LEAK REPAIR,,04,EXCA-1433545,Days & Weekends,National Grid,,,,1,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,National Grid,,MAINTENANCE,2023-02-08 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,LAKE SHORE RD,490
490,CUT AND CAP EXISTING,,04,EXCA-1432414,Days & Weekends,Keash Excavating Inc,,,,365,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-17 00:00:00,,Keash Excavating Inc,,SERVICE,2023-02-17 00:00:00,1,857-231-1171,ALLSTON/BRIGHTON,WESTERN AV,491
491,Service Repair (Leak on Service),,04,EMER-1426140,Days & Weekends,Boston Water & Sewer Commi,,,,33,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-24 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,ALLSTON/BRIGHTON,BRAYTON RD,492
492,Grade 1 Gas Leak,,04,EMER-1323866,Days & Weekends,National Grid,,,,324,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-24 00:00:00,,National Grid,,EMERGENCY,,1,1-877-304 12,ALLSTON/BRIGHTON,CHESTNUT HILL AVE,493
493,Sewer Repair (Broken Sewer),,04,EMER-000000,Days & Weekends,"Sean Farrell Excavation, I",,,,3,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-26 00:00:00,,"Sean Farrell Excavation, Inc.",,EMERGENCY,2023-01-26 00:00:00,1,1-617-293 76,ALLSTON/BRIGHTON,EGREMONT RD,494
494,MH REBUILD,,04,EXCA-1433446,Days & Weekends,Mirra Co,,,,1096,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,Comcast,,MAINTENANCE,2023-02-08 00:00:00,1,857-919-9935,ALLSTON/BRIGHTON,COMMONWEALTH AV,495
495,Service Repair (Leak on Service),,04,EMER-1424064,Days & Weekends,Metro Equipment Corp,,,,26,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 79,ALLSTON/BRIGHTON,WINDOM ST,496
496,GAS LEAK REPAIR,,04,EXCA-1428835,Days & Weekends,National Grid,,,,26,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-05 00:00:00,,National Grid,,MAINTENANCE,2023-02-05 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,ARDEN ST,497
497,Service Repair (Leak on Service),,04,EMER-1424078,Days & Weekends,Metro Equipment Corp,,,,87,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-18 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-19 00:00:00,1,617-989-7000,ALLSTON/BRIGHTON,WALLINGFORD ST,498
498,Emergency - Cable Replacement,,04,EMER-1160674,Days & Weekends,Riley Brothers,,,,80,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-21 00:00:00,,Eversource Electric,,EMERGENCY,2023-01-21 00:00:00,1,1-800-592 20,ALLSTON/BRIGHTON,ADAMSON ST,499
499,CONDUIT REPAIR,,04,EXCA-1381340,Days & Weekends,Maverick Construction,,,,267,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Boston Public Works,,MAINTENANCE,2023-02-01 00:00:00,1,857-472-0105,ALLSTON/BRIGHTON,WESTERN AV,500
500,Grade 1 Gas Leak,,04,EMER-1323271,Days & Weekends,National Grid,,,,9,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-07 00:00:00,,National Grid,,EMERGENCY,2023-01-07 00:00:00,1,1-877-304 12,ALLSTON/BRIGHTON,EVERETT ST,501
501,INSTALLATION OF GAS MAIN,,04,EXCA-838154,Days & Weekends,Feeney Brothers Excavation,1550,,,40,168,IDLE,2023-03-07 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-07 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,LAKE ST,502
502,Emergency - Cable Replacement,,04,EMER-1160662,Days & Weekends,Riley Brothers,,,,200,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-06 00:00:00,,Eversource Electric,,EMERGENCY,2023-01-06 00:00:00,1,1-800-592 20,ALLSTON/BRIGHTON,BRIGHTON AV,503
503,INSTALLATION OF CONDUIT,,04,EXCA-1358599,Days & Weekends,Riley Brothers,3338,,,171,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-22 00:00:00,,Eversource Electric,,NEW CONDUIT AND/OR MAIN,2023-01-15 00:00:00,1,800-592-2000,ALLSTON/BRIGHTON,COREY RD,504
504,INSTALLATION OF MANHOLE,,04,EXCA-1340140,Days & Weekends,J Derenzo,,,,60,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-10 00:00:00,,J Derenzo,,SERVICE,2023-01-15 00:00:00,1,508-509-4879,ALLSTON/BRIGHTON,EVERETT ST,505
505,INSTALLATION OF WATER SEWER FIRE AND DRAIN,,04,EXCA-1351454,Days & Weekends,Welch Corp,94,,,1515,,ONGOING SECTIONS TOPPED TO GRADE,2022-11-23 00:00:00,,Welch Corp,,SERVICE,2023-01-15 00:00:00,1,,ALLSTON/BRIGHTON,COMMONWEALTH AV,506
506,Maintenance,,02,EXCA1439941,Days & Weekends,National Grid,,,,828,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,National Grid,,,2023-03-16 00:00:00,1,877-304-1203,JAMAICA PLAIN,CENTRE ST,507
507,CONDUIT REPAIR,,04,EXCA-1364048,Days & Weekends,McCourt Construction,,,,1581,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-19 00:00:00,,Eversource Electric,,MAINTENANCE,2023-01-15 00:00:00,1,800-592-2000,ALLSTON/BRIGHTON,COMMONWEALTH AV,508
508,TEST PITS,,04,EXCA-1077538,Days & Weekends,Feeney Brothers Excavation,,,,54,,IDLE,2023-03-07 00:00:00,,National Grid,,TEST PITS,2023-03-07 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,PRATT ST,509
509,RDWY & SDWK RECONSTRUCTION,,04,EXCA-1415032,Days & Weekends,DW White,,,,60,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-04 00:00:00,,DW White,,RECONSTRUCTION,2023-03-04 00:00:00,1,508.763.8868,ALLSTON/BRIGHTON,EVERETT ST,510
510,INSTALLATION OF GAS MAIN,,04,EXCA-1077530,Days & Weekends,Feeney Brothers Excavation,857,,,1,44,IDLE,2023-02-01 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-02-08 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,ASHFORD ST,511
511,INSTALLATION OF GAS MAIN,,04,EXCA-1085379,Days & Weekends,Feeney Brothers Excavation,702,,,66,110,IDLE,2023-03-15 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-15 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,CHESTER ST,512
512,INSTALLATION OF GAS MAIN,,04,EXCA-1242618,Days & Weekends,National Grid,650,,,1,40,ONGOING SECTIONS TOPPED TO GRADE,2022-12-20 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-01-15 00:00:00,1,877-304-1203,ALLSTON/BRIGHTON,LAKE ST,513
513,INSTALLATION OF SERVICE FOR HARVARD/PLATES RECESSED / BOND TO MAN PLATES DURING ALL STORMS,,04,EXCA-1341436,Days & Weekends,Bond Brothers Inc.,,,6,12,,PLATES BEHIND BARRIERS,2023-03-09 00:00:00,,Bond Brothers Inc.,,SERVICE,2023-03-09 00:00:00,1,617-394-6315,ALLSTON/BRIGHTON,WESTERN AV,514
514,INSTALLATION OF CONDUIT,,04,EXCA-1404062,Days & Weekends,Danella Line Co,224,,,130,170,ONGOING SECTIONS TOPPED TO GRADE,2022-11-15 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-01-15 00:00:00,1,800-448-8946,ALLSTON/BRIGHTON,COREY RD,515
515,INSTALLATION OF WATER & SEWER / IDLE WAITING ON EXTENSION,,03,EXCA-1337324,Days & Weekends,JF Excavation,,,,175,,PLATES BERMED ON SIDEWALK,2022-11-05 00:00:00,,JF Excavation,,SERVICE,2023-02-08 00:00:00,1,781-333-0182,NORTH DORCHESTER,HOWARD AV,516
516,INSTALLATION OF GAS MAIN,,03,EXCA-1398702,Days & Weekends,Feeney Brothers Excavation,595,,,130,176,IDLE,2023-03-17 00:00:00,,National Grid,,NEW CONDUIT AND/OR MAIN,2023-03-17 00:00:00,1,877-304-1203,NORTH DORCHESTER,SAVIN HILL AV,517
517,MANHOLE REPAIR (HARD WORK ZONE),,03,EXCA-1347920,Days & Weekends,Sheerin Construction,,,,73,,ONGOING SECTIONS TOPPED TO GRADE,2022-12-23 00:00:00,,Eversource Electric,,MAINTENANCE,2023-02-08 00:00:00,1,800-592-2000,NORTH DORCHESTER,BIRD ST,518
518,Sewer Repair (Broken Sewer),,03,EMER-00000,Days & Weekends,"Sean Farrell Excavation, I",,,,6,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-07 00:00:00,,"Sean Farrell Excavation, Inc.",,EMERGENCY,2023-01-07 00:00:00,1,1-617-293 76,NORTH DORCHESTER,JEROME ST,519
519,Service Repair (Leak on Service),,03,EMER-1424048,Days & Weekends,Metro Equipment Corp,,,,27,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,NORTH DORCHESTER,GRAMPIAN WAY,520
520,,,03,EXCA-1428724,Days & Weekends,National Grid,,,,28,,,2023-02-03 00:00:00,,National Grid,,MAINTENANCE,2023-02-03 00:00:00,1,877-304-1203,NORTH DORCHESTER,LEYLAND ST,521
521,,,03,EXCA-1428730,Days & Weekends,National Grid,,,,88,,,2023-02-03 00:00:00,,National Grid,,MAINTENANCE,2023-02-03 00:00:00,1,877-304-1203,NORTH DORCHESTER,GREENWOOD ST,522
522,Grade 1 Gas Leak,,03,EMER-1323836,Days & Weekends,National Grid,,,,80,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-13 00:00:00,,National Grid,,EMERGENCY,2023-01-12 00:00:00,1,1-877-304 12,NORTH DORCHESTER,HOMES AV,523
523,Grade 1 Gas Leak,,03,EMER-1323857,Days & Weekends,National Grid,,,,66,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-19 00:00:00,,National Grid,,EMERGENCY,2023-01-19 00:00:00,1,877-304-1203,NORTH DORCHESTER,BOWDOIN AV,524
524,Emergency - Manhole Structural Repair,,03,EMER-1426135,Days & Weekends,,,,,24,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-14 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-01-14 00:00:00,1,1-617-989 70,NORTH DORCHESTER,SAVIN HILL AV,525
525,INSTALLATION OF CONDUIT,,03,EXCA-1430660,Days & Weekends,Danella Line Co,38,,,4,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-28 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-01-28 00:00:00,1,800-446-8946,NORTH DORCHESTER,BOWDOIN ST,526
526,INSTALLATION OF SERVICE,,03,EXCA-1433622,Days & Weekends,Riley Brothers,,,,951,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-09 00:00:00,,Eversource Electric,,SERVICE,2023-02-09 00:00:00,1,800-592-2000,NORTH DORCHESTER,DORCHESTER AV,527
527,INSTALLATION OF WATER AND FIREPIPE,,03,EXCA-1409889,Days & Weekends,Keash Excavating Inc,,,,50,,ONGOING SECTIONS TOPPED TO GRADE,2023-01-24 00:00:00,,Keash Excavating Inc,,SERVICE,2023-01-24 00:00:00,1,857-231-1171,NORTH DORCHESTER,DRAPER ST,528
528,Dig in Doubt (Leak on Service),,03,EMER-1426159,Days & Weekends,D'Allessandro Corp,,,,25,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-02 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-08 00:00:00,1,1-617-989 70,NORTH DORCHESTER,MAYFIELD ST,529
529,GAS LEAK REPAIR,,03,EXCA-1433476,Days & Weekends,Nationalgrid ,,,,7,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-16 00:00:00,,National Grid,,MAINTENANCE,2023-02-16 00:00:00,1,,NORTH DORCHESTER,LONGFELLOW ST,530
530,Water Main Repair (Leak on Main),,03,EMER-1426156,Days & Weekends,Boston Water & Sewer Commi,,,,7,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-01 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-01 00:00:00,1,617-989-7000,NORTH DORCHESTER,CHASE ST,531
531,INSTALLATION OF CONDUIT,,03,EXCA-1433592,Days & Weekends,Danella Line Co,103,,,348,,,2023-02-07 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-02-07 00:00:00,1,800-446-8946,NORTH DORCHESTER,BOWDOIN ST,532
532,Water Main Repair (Leak on Main),,03,EMER-1426156,Days & Weekends,Boston Water & Sewer Commi,,,,7,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,NORTH DORCHESTER,CHASE ST,533
533,Grade 1 Gas Leak,,03,EMER-1333345,Days & Weekends,National Grid,,,,68,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,NORTH DORCHESTER,GRANGER ST,534
534,Cable Failure,,03,EMER-1397152,Days & Weekends,Mirra Company Co.,,,,59,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,Comcast,,EMERGENCY,2023-02-08 00:00:00,1,1-978-758 02,NORTH DORCHESTER,OLNEY ST,535
535,Service Repair (Leak on Service),,03,EMER-1426179,Days & Weekends,Metro Equipment Corp,,,,354,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-11 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-11 00:00:00,1,1-617-989 70,NORTH DORCHESTER,SEAVER ST,536
536,Grade 1 Gas Leak,,03,EMER-1333347,Days & Weekends,National Grid,,,,94,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-08 00:00:00,,National Grid,,EMERGENCY,2023-02-08 00:00:00,1,1-877-304 12,NORTH DORCHESTER,GENEVA AV,537
537,INSTALLATION OF LIGHT BASE IN SDWK,,03,EXCA-1435401,Days & Weekends,Maverick Construction,,,,1099,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-17 00:00:00,,Boston Public Works,,MAINTENANCE,2023-02-17 00:00:00,1,857-472-0105,NORTH DORCHESTER,DORCHESTER AV,538
538,Emergency - Cable Replacement,,03,EMER-1358831,Days & Weekends,Riley Brothers,,,,3,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-10 00:00:00,,Eversource Electric,,EMERGENCY,2023-02-10 00:00:00,1,1-800-592 20,NORTH DORCHESTER,OAKLEY ST,539
539,REPLACE VENT STACK IN SIDEWALK,,03,EXCA-1439921,Days & Weekends,National Grid,,,,43,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,National Grid,,MAINTENANCE,2023-03-16 00:00:00,1,877-304-1203,NORTH DORCHESTER,SAVIN HILL AV,540
540,GAS LEAK REPAIR,,03,EXCA-1439974,Days & Weekends,National Grid,,,,12,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,MAINTENANCE,2023-03-15 00:00:00,1,877-304-1203,NORTH DORCHESTER,ADAMS ST,541
541,,,03,EXCA-1439942,Days & Weekends,National Grid,,,,220,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,National Grid,,MAINTENANCE,2023-03-16 00:00:00,1,877-304-1203,NORTH DORCHESTER,NORWELL ST,542
542,Service Outage,,03,EMER-1364996,Days & Weekends,Phoenix Communications Inc,,,,30,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-18 00:00:00,,Crown Castle,,EMERGENCY,2023-02-23 00:00:00,1,1-888-632 09,NORTH DORCHESTER,BARRY ST,543
543,Grade 1 Gas Leak,,03,EMER-1364993,Days & Weekends,National Grid,,,,247,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-17 00:00:00,,National Grid,,EMERGENCY,2023-02-17 00:00:00,1,877-304-1203,NORTH DORCHESTER,COLUMBIA RD,544
544,Service Outage,,03,EMER-1364999,Days & Weekends,Phoenix Communications,,,,41,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-18 00:00:00,,Crown Castle,,EMERGENCY,2023-02-23 00:00:00,1,1-888-632 09,NORTH DORCHESTER,GEORGIA ST,545
545,INSTALLATION OF WATER AND FIREPIPE,,03,EXCA-1409889,Days & Weekends,Keash Excavating Inc,,,,50,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-07 00:00:00,,Keash Excavating Inc,,SERVICE,2023-03-07 00:00:00,1,857-231-1171,NORTH DORCHESTER,DRAPER ST,546
546,GAS LEAK REPAIR,,03,EXCA-1439936,Days & Weekends,National Grid,,,,376,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,National Grid,,MAINTENANCE,2023-03-16 00:00:00,1,877-304-1203,NORTH DORCHESTER,WASHINGTON ST,547
547,Sewer Repair (Broken Sewer),,03,EMER-00000,Days & Weekends,"Sean Farrell Excavation, I",,,,66,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,"Sean Farrell Excavation, Inc.",,EMERGENCY,2023-02-24 00:00:00,1,617-293 7660,NORTH DORCHESTER,TONAWANDA ST,548
548,Maintenance,,03,EXCA-1439932,Days & Weekends,National Grid,,,,70,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,National Grid,,,2023-03-16 00:00:00,1,877-304-1203,NORTH DORCHESTER,PLEASANT ST,549
549,Maintenance,,03,EXCA1439949,Days & Weekends,National Grid,,,,135,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,National Grid,,,2023-03-16 00:00:00,1,877-304-1203,NORTH DORCHESTER,COLUMBIA RD,550
550,Maintenance,,03,EXCA1439933,Days & Weekends,National Grid,,,,369,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-15 00:00:00,,National Grid,,,2023-03-15 00:00:00,1,877-304-1203,NORTH DORCHESTER,WASHINGTON ST,551
551,Gas Stoppage,,03,EMER-1365004,Days & Weekends,National Grid,,,,237,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-23 00:00:00,,National Grid,,EMERGENCY,2023-02-23 00:00:00,1,877-304-1203,NORTH DORCHESTER,SAVIN HILL AV,552
552,Maintenance,,03,EXCA-1440112,Days & Weekends,Maverick Construction,,,,2,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-02 00:00:00,,Boston Public Works,,,2023-03-02 00:00:00,1,857-472-0105,NORTH DORCHESTER,CAWFIELD ST,553
553,Service Relay (Leak on Street),,03,EMER-1436414,Days & Weekends,Metro Equipment Corp,,,,7,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-23 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-23 00:00:00,1,617-989-7000,NORTH DORCHESTER,MT VERNON ST,554
554,GAS LEAK REPAIR,,03,EXCA-1441630,Days & Weekends,National Grid,,,,90,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-17 00:00:00,,National Grid,,MAINTENANCE,2023-03-17 00:00:00,1,877-304-1203,NORTH DORCHESTER,TOPLIFF ST,555
555,GAS LEAK REPAIR,,03,EXCA-1439949,Days & Weekends,National Grid,,,,135,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-16 00:00:00,,National Grid,,MAINTENANCE,2023-03-16 00:00:00,1,877-304-1203,NORTH DORCHESTER,COLUMBIA RD,556
556,Grade 1 Gas Leak,,03,EMER-1376367,Days & Weekends,National Grid,,,,10,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,NORTH DORCHESTER,ABBOTSFORD ST,557
557,,,03,EXCA-1444993,Days & Weekends,National Grid,,,,422,,,2023-04-06 00:00:00,,National Grid,,MAINTENANCE,2023-04-06 00:00:00,1,877-304-1203,NORTH DORCHESTER,COLUMBIA RD,558
558,Sewer Repair (Broken Sewer),,03,EMER-,Days & Weekends,Ronan 953 LLC,,,,4,,ONGOING SECTIONS TOPPED TO GRADE,,,Ronan 953 LLC,,EMERGENCY,,1,1-617-510 10,NORTH DORCHESTER,HECLA ST,559
559,Grade 1 Gas Leak,,03,EMER-1376355,Days & Weekends,National Grid,,,,176,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,NORTH DORCHESTER,HARVARD ST,560
560,Service Repair,,03,EMER-1442346,Days & Weekends,Metro Equipment,,,,34,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Comission,,EMERGENCY,,1,,NORTH DORCHESTER,TUTTLE ST,561
561,Grade 1 Gas Leak,,03,EMER-1376357,Days & Weekends,National Grid,,,,276,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,NORTH DORCHESTER,BOWDOIN ST,562
562,,,03,EXCA-1446901,Days & Weekends,National Grid,,,,26,,,2023-04-13 00:00:00,,National Grid,,MAINTENANCE,2023-04-13 00:00:00,1,877-304-1203,NORTH DORCHESTER,SCHUYLER ST,563
563,Grade 1 Gas Leak,,03,EMER-1365024,Days & Weekends,National Grid,,,,20,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,NORTH DORCHESTER,WESTCOTT ST,564
564,Grade 1 Gas Leak,,03,EMER-1376347,Days & Weekends,National Grid,,,,60,,ONGOING SECTIONS TOPPED TO GRADE,,,National Grid,,EMERGENCY,,1,1-877-304 12,NORTH DORCHESTER,ALBAN ST,565
565,Casting Repair - Public Safety Concern,,03,EMER-1442348,Days & Weekends,Metro Equipment Corp,,,,92,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,NORTH DORCHESTER,MT VERNON ST,566
566,Electrical Outage,,02,EMER-1426129,Days & Weekends,Eversource Electric,,,,71,,ONGOING SECTIONS TOPPED TO GRADE,,,evesource,,EMERGENCY,,1,1-180-059 22,JAMAICA PLAIN,SOUTH HUNTINGTON AV,567
567,Service Relay (Leak on Street),,02,EMER-1436431,Days & Weekends,Metro Equipment Corp,,,,218,,ONGOING SECTIONS TOPPED TO GRADE,,,Boston Water & Sewer Commission,,EMERGENCY,,1,1-617-989 70,JAMAICA PLAIN,ARBORWAY,568
568,INSTALL LIGHT BASE,,02,EXCA-1443808,Days & Weekends,Maverick Construction,,,,,,,2023-03-28 00:00:00,CENTRE ST,Boston Public Works,,MAINTENANCE,2023-03-28 00:00:00,1,857-472-0105,JAMAICA PLAIN,ROBINWOOD AV,569
569,GAS LEAK REPAIR,,02,EXCA-1441739,Days & Weekends,National Grid,,,,920,,,2023-03-17 00:00:00,,National Grid,,MAINTENANCE,2023-03-17 00:00:00,1,877-304-1203,JAMAICA PLAIN,CENTRE ST,570
570,,,02,EXCA-1446827,Days & Weekends,Danella Line Co,,,,134,,,2023-03-31 00:00:00,,Verizon,,NEW CONDUIT AND/OR MAIN,2023-03-31 00:00:00,1,800-446-8946,JAMAICA PLAIN,DAY ST,571
571,Maintenance,,02,EXCA1440317,Days & Weekends,National Grid,,,,2,,ONGOING SECTIONS TOPPED TO GRADE,2023-03-10 00:00:00,,National Grid,,,2023-03-10 00:00:00,1,877-304-1203,JAMAICA PLAIN,BROWNSON TER,572
572,Service Relay (Leak on Street),,02,EMER-1436418,Days & Weekends,Boston Water & Sewer Commi,,,,49,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-24 00:00:00,1,617-989-7000,JAMAICA PLAIN,POND ST ,573
573,GAS LEAK REPAIR,,02,EXCA-1436919,Days & Weekends,National Grid,,,,15,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-24 00:00:00,,National Grid,,MAINTENANCE,2023-02-24 00:00:00,1,877-304-1203,JAMAICA PLAIN,ROSEWAY ST,574
574,Service Repair (Leak on Service),,02,EMER-1436398,Days & Weekends,Metro Equipment Corp,,,,8,,ONGOING SECTIONS TOPPED TO GRADE,2023-02-16 00:00:00,,Boston Water & Sewer Commission,,EMERGENCY,2023-02-16 00:00:00,1,617-989-7000,JAMAICA PLAIN,PRIESING ST,575
